公路、市政工程劳务分包/专业分包指导价												
		006	预制T梁	m3	185.0	/	甲方提供砼、损耗率1%以内	模板	门吊（不含操作手）		按设计图示尺寸以体积计量	包括立模、刷脱模剂；安装预埋件；砼浇注、捣固、养生；配合移梁、存梁、装车等所有工作内容
		007	架设空心板	m3	110.0	/	/	/	/		按照架设梁的砼体积计算	机械设备进出场、运梁轨铺设、临时固定、起梁、运梁、落梁、支座安装、梁体就位
		008	架设箱梁	m3	120.0	/	/	/	/		按照架设梁的砼体积计算	机械设备进出场、运梁轨铺设、临时固定、起梁、运梁、落梁、支座安装、梁体就位
		009	架设T梁	m3	120.0	/	/	/	/		按照架设梁的砼体积计算	机械设备进出场、运梁轨铺设、临时固定、起梁、运梁、落梁、支座安装、梁体就位、过孔等完成T梁架设工作的全部工作内容
	06		悬灌梁、现浇梁									
		001	悬浇梁砼（挂蓝施工，主跨度≥90m）	m3	470.0	/	甲方提供砼、钢筋、钢绞线、锚具、工具锚、压浆材料、波纹管，损耗率1%以内	甲方提供挂篮、钢模板、托架	/	甲方负责电接至施工现场配电柜处；甲方提供钢筋加工场地（含行吊）；甲方提供施工主便道；甲方提供安全等标识标牌；甲方负责控制测量、试验、检测，但乙方须人工、机械配合	按设计图示尺寸以体积计算	墩顶0号块临时固结，挂篮推移、就位、过墩，模板、支架安拆，砼灌注、养护等全部工作内容
		002	悬浇梁砼（挂蓝施工，60m≤主跨度＜90m）	m3	490.0	/			/		按设计图示尺寸以体积计算	墩顶0号块临时固结，挂篮推移、就位、过墩，模板、支架安拆，砼灌注、养护等全部工作内容
		003	悬浇梁砼（挂蓝施工，主跨度＜60m）	m3	530.0	/			/		按设计图示尺寸以体积计算	墩顶0号块临时固结，挂篮推移、就位、过墩，模板、支架安拆，砼灌注、养护等全部工作内容
		004	悬浇梁体钢筋制安	t	580.0	/			/		按设计图示尺寸计算	钢筋按图纸下料、制作，焊接、绑扎并经验收合格，制作安装保护层水泥垫等全部工作内容
		005	精扎螺纹钢制安	t	1200.0	/			/		按设计图示尺寸计算	卸车存放、钢筋调直、切断、弯曲、焊接（绑扎）、运输、安装、连接，张拉，压浆管制作、安装，压水泥浆，封锚等全部工作内容
		006	悬浇梁钢绞线	t	1500.0	/			/		按设计图示尺寸计算	钢绞线(含水泥、锚具等）卸车存放、调直、下料、切断；编束、穿束；安装锚垫板、锚具、预张拉、初拉、终张拉、切割钢绞线、封锚等。波纹管制安，预应力孔道清理、管道真空辅助压浆，砂浆配、拌、运、压浆等全部工作内容
		007	挂篮、模板拼装、预压、拆除	套	30000.0	/			/		按实际数量计算	挂篮、模板的提升、拼装、焊接、整修、加固、开孔、打磨、拆除、运输、堆码、清理、打油；预压材料的装袋、提升、堆载、卸载、运输、堆码等全部工作内容
		008	托架制作、安装、拆除	t	800.0	/			/		按照实际施工重量计算	托架制作、提升、安装、焊接、整修、加固、开孔、打磨、拆除、运输、堆码、清理、打油；钢管内灌注砼；预压材料的装袋、提升、堆载、卸载、运输、堆码等全部工作内容
		009	现浇连续梁砼（满堂支架）	m3	210.0	/	甲方提供砼、钢筋、钢绞线、模具、压浆材料、波纹管，损耗率1%以内	甲方提供模板、脚手架	/		按设计图示尺寸以圬工方体积计量	木模制作，铺拆箱梁底模及方木纵横带，立拆侧模、内模及端模并调整标高接缝，支架配重并预压，安装预埋件，人工配合起重机或泵车（地泵）灌注砼，振捣、抹面并养护，挂设高空安全网，上梁爬梯搭拆，小型电焊作业，相关材料垂直运输、50m以内材料运输等全部工作内容
		010	钢管脚手架搭拆（盘扣）	m3	10.0	/			/		按照空间方计价	脚手架或定型钢支架搭设，顶托标高调整，安全防护，拆除后分类堆放。支架垂直运输，材料50m以内水平运输等全部工作内容
		011	碗扣脚手架搭拆	m3	11.0	/			/		按照空间方计价	脚手架或定型钢支架搭设，顶托标高调整，安全防护，拆除后分类堆放。支架垂直运输，材料50m以内水平运输等全部工作内容
		012	现浇连续梁钢筋	t	550.0	/			/		按设计图示尺寸计算	钢筋按图纸下料、制作，焊接、绑扎并经验收合格，制作安装保护层水泥垫等全部工作内容等全部工作内容
		013	现浇梁钢绞线(满堂支架）	t	1300.0	/			/		按设计图纸的净长、规格换算的重量进行计量	钢绞线下料、安装、转运、绑扎、安装波纹管成孔、穿束、张拉、封锚、清孔并压浆等全部费用等全部工作内容
	07		支座、湿接缝									
		001	桥梁盆式支座	个	450.0	/	甲方提供盆式支座、灌注材料	/	/	甲方负责电接至施工现场配电柜处；甲方提供钢筋加工场地（含行吊）；甲方提供施工主便道；甲方提供安全等标识标牌；甲方负责控制测量、试验、检测，但乙方须人工、机械配合		运输、安装、定位、固定、焊接
		002	箱梁、T梁端横梁、中横梁、横隔板、湿接缝砼钢筋加工安装	t	650.0	/	甲方提供钢筋，损耗率1%以内	/	/		按图纸尺寸计算，不含搭接	钢筋60m范围内运输，现场部分的焊接、安装
		003	湿接缝钢绞线	t	1500.0	/	甲方提供钢绞线，损耗率1%以内	/	/		按图纸尺寸计算	搭工作平台、波纹管安装、钢绞线下料、穿束、张拉、压浆、钢绞线头切除、封端
		004	箱梁、T梁现浇端横梁、中横梁、横隔板、湿接缝砼	m³	320.0	/	甲方提供砼，损耗率1%以内	/	/		按设计方量计算	支座安装、模板制作、安装、支架搭设、加固、调整、浇注、拆模、养护、模板保养、指定堆放
	08		桥面系									
		001	钢筋网片加工运输安装	t	520.0	/	甲方提供钢筋，损耗率1%以内	/	/	/	按设计图示尺寸以质量计算，搭接长度不计	钢筋按图纸下料、制作，焊接、绑扎、固定，制作安装架立钢筋，并经验收合格。
		002	防撞护栏钢筋加工运输安装	t	600.0	/	甲方提供钢筋，损耗率1%以内	/	/	/	按设计图示尺寸以质量计算，搭接长度不计	钢筋按图纸下料、制作，焊接、绑扎并经验收合格
		003	防撞护栏混凝土	m³	280.0	/	甲方提供砼、损耗率1%以内	模板	/	/	按设计图示尺寸以体积计算	脚手架搭拆、模板安拆、砼浇筑、养护，接缝处理等
		004	桥面铺装钢筋加工运输安装	t	500.0	/	甲方提供钢筋，损耗率1%以内	/	/	/	按设计图示尺寸以质量计算，搭接长度不计	钢筋按图纸下料、制作，焊接、绑扎并经验收合格
		005	桥面铺装混凝土	m³	110.0	/	甲方提供砼、损耗率1%以内	/	/	/	按设计图示尺寸以体积计量	模板安拆、修理、涂脱模剂、堆放，混凝土浇筑、捣固及养生
		006	人行道板钢筋加工运输安装	t	550.0	/	甲方提供钢筋，损耗率1%以内	/	/	/	按设计图示尺寸以质量计算，搭接长度不计	钢筋按图纸下料、制作，焊接、绑扎并经验收合格
		007	人行道板预制混凝土	m³	220.0	/	甲方提供砼、损耗率1%以内	/	/	/	按设计图示尺寸以体积计算	模板安拆、砼浇筑、养护等
		008	桥面刷防水层	㎡	4.0	/	甲方提供涂料	/	/	/	按设计图示尺寸以面积计算	材料运输、清理基面,刷冷底油、刷涂料，泄水管处处理等全部工作内容
		009	桥面防水卷材	m2	8.0	/	甲方提供防水卷材	/	/	/	按设计图示尺寸以面积计算	卷材运输、裁剪，清理基面,刷冷底油,烤、铺卷材,刷涂料，泄水管处处理等全部工作内容
		010	80型型钢伸缩缝安装	m	300.0	/	甲方提供伸缩缝材料	/	/	/	按照实际安装长度计算	切缝、破除砼、清理沟槽、安装伸缩缝、钢筋制作、安装，浇筑砼、养生
		011	120型型钢伸缩缝安装	m	400.0	/	甲方提供伸缩缝材料	/	/	/	按照实际安装长度计算	切缝、破除砼、清理沟槽、安装伸缩缝、钢筋制作、安装，浇筑砼、养生
		012	160型型钢伸缩缝安装	m	500.0	/	甲方提供伸缩缝材料	/	/	/	按照实际安装长度计算	切缝、破除砼、清理沟槽、安装伸缩缝、钢筋制作、安装，浇筑砼、养生
	09		涵洞工程									
		001	浆砌片石锥体	m3	289.065	片石1.15m3，砂浆0.35m3	/	/	/	甲方负责电接至施工现场配电柜处；甲方提供钢筋加工场地（含行吊）、预制场地；甲方提供施工主便道；甲方提供安全等标识标牌；甲方负责控制测量、试验、检测，但乙方须人工、机械配合	按设计图示尺寸以体积计量	选修片石并洗刷，试放，拌制砂浆、铺浆、挂线砌筑，挤浆并找平、勾缝、整理及养护等全部工作内容
		002	钢筋制安	t	550.0	/	甲方提供钢筋、损耗率1%以内	/	/		按设计图纸的净长、规格换算的重量进行计量，所有搭接、下脚料、定位钢筋均不予计量	钢筋按图纸下料、制作、焊接、绑扎并经验收合格，制安保护层水泥垫块等全部工作内容
		003	基础砼	m3	80.0	/	甲方提供砼、损耗率1%以内	/	/		按设计图示尺寸以体积计量	模板安拆，涂脱模剂，模板支撑加固，支架安拆，浇注砼、振捣、养护、安插接茬石等全部工作内容
		004	盖板涵身边墙、底板砼、顶板砼、涵端墙、翼墙、帽石砼	m3	270.0	/	甲方提供砼、损耗率1%以内	/	/		按设计图示尺寸计量	竹胶板模板制安拆，模板支撑加固，支架安装拆除，浇筑砼、振捣、养护等全部工作内容
		005	框架涵身边墙、底板砼、顶板砼、涵端墙、翼墙、帽石砼	m3	300.0	/	甲方提供砼、损耗率1%以内	/	/		按设计图示尺寸计量	竹胶板模板制安拆，模板支撑加固，支架安装拆除，浇筑砼、振捣、养护等全部工作内容
		006	流水坡、垫层砼灌注	m3	40.0	/	甲方提供砼、损耗率1%以内	/	/		按设计图示尺寸以体积计量	砼灌注、振捣及养护，抹面等全部工作内容
		007	防水层	m2	6.0	/	甲方提供防水层材料	/	/		按设计图示尺寸以体积计量	熬制沥青、铺防水材料，涂刷沥青两遍等全部工作内容
		008	沥青木板沉降缝	m2	18.0	/	甲方提供沉降缝材料	/	/		按设计图示尺寸以体积计量	木板制作、涂沥青及安装等全部工作内容
		009	基础土方开挖，运距1km	m3	8.0	/	/	/	/		以技术交底开挖设计量计量	挖掘机挖装土并运至基坑口外50m，人工修整边坡及基坑底面，基坑维护等全部工作内容
		010	基础石方开挖，运距1km	m3	21.0	/	/	/	/		按设计图示压实断面尺寸计算	基坑石方爆破，挖掘机就位、开挖工作面、挖、装、运1km、清理工作面等全部工作内容
		011	盖板预制	m3	180.0	/	甲方提供砼、损耗率1%以内	/	/		按设计图示尺寸以体积计量	场地平整，模板清理、涂油、安装，砼浇筑、振捣、养生、砼盖板移位、堆放，材料小搬运费等一切相关费用
		012	运输安装盖板	m3	120.0	/	/	/	/		按设计图示尺寸以体积计量	盖板修整、起吊、运输、人工拌砂浆、安装、就位、校正
		013	圆管涵安装	m	60.0	/	/	/	/			
五			隧道工程									
	01		洞口及明洞									
		001	洞口土方开挖(运输1km以内)	m3	7.0	/	/	/	/	/	按图示的断面计算	挖掘机就位、开挖工作面、挖、装、运、卸、空回、清理工作面、弃土场整理等全部工作内容
		002	洞口软石开挖(运输1km以内)	m3	12.0	/	/	/	/	/	按图示的断面计算	挖掘机就位、开挖工作面、挖、装、运、卸、空回、清理工作面、弃土场整理等全部工作内容
		003	洞口坚石开挖(运输1km以内)	m3	20.0	/	/	/	/	/	按图示断面尺寸乘以长度以体积计量	打眼、装药、防护、引爆、清理、解小、推土机配合推运、装卸、运输等全部工作内容
		004	回填土石方	m3	10.0	/	/	/	/	/	按设计图示尺寸以立方米计量	装运、回填（利用隧道弃碴）
		005	洞门回填M10浆砌片石	m3	249.065	片石1.15m3，砂浆0.35m3	/	/	/	/	按设计图示尺寸以立方米计量	选修片石并洗刷，试放，拌制砂浆、铺浆、挂线砌筑，挤浆、找平、勾缝、整理及养护，搭、拆脚手架
		006	洞门端墙锚固钢筋	t	500.0	/	甲方提供钢筋、损耗率1%以内	/	/	/	按设计图纸的净长、规格换算的重量进行计量	钢筋按图纸下料、制作，焊接、绑扎并经验收合格，制作安装保护层水泥垫等全部工作内容。
		007	洞门端墙混凝土	m3	180.0	/	甲方提供砼、损耗率1%以内	/	/	/	按设计图示尺寸以立方米计量	架子搭拆、模板安装及加固、钢筋笼吊装就位、混凝土吊装灌注、振捣、养生等全部工作内容
		008	洞门顶帽混凝土	m3	180.0	/	甲方提供砼、损耗率1%以内	/	/	/	按设计图示尺寸以立方米计量	架子搭拆、模板安装及加固、钢筋笼吊装就位、混凝土吊装灌注、振捣、养生等全部工作内容
		009	洞门抹水泥砂浆	m2	8.0	/	甲方提供水泥砂浆、损耗率1%以内	/	/	/	按设计图示尺寸以平方米计量	表面清理、浇水湿润、砂浆拌制、抹灰、养护等全部工作内容
		010	排水沟混凝土	m3	100.0	/	甲方提供砼、损耗率1%以内	/	/	/	按设计图示尺寸以立方米计量	架子搭拆、模板安装及加固、钢筋笼吊装就位、混凝土吊装灌注、振捣、养生等全部工作内容
		011	M10水泥砂浆片石截水沟、护坡	m3	289.065	片石1.15m3，砂浆0.35m3	/	/	/	/	按现场实际完成合格工程量计量	人工开挖土槽，并运至工作面外30m，修整边坡及沟槽底面清理，拌、运砂浆，选、修、运、破碎石料，搭、移跳板，砌筑、勾缝、养生
		012	明洞钢筋制作运输安装	t	500.0	/	甲方提供钢筋、损耗率1%以内	/	/	/	按设计图纸的净长、规格换算的重量进行计量	钢筋按图纸下料、制作，焊接、绑扎并经验收合格，制作安装保护层水泥垫等全部工作内容。
		013	明洞混凝土	m3	140.0	/	甲方提供砼、损耗率1%以内	甲方提供台车（木模由乙方提供）	/	/	按设计图示尺寸以立方米计量	台车安装运输、模板安装及加固、混凝土泵送灌注、振捣、养生等全部工作内容
	02		洞身									
		001	洞身开挖综合单价（双线）	m3	77.0	/	/	/	/	甲方负责大电接至洞口处；甲方提供炸药库；甲方提供洞外施工主便道；甲方提供安全等标识标牌；甲方负责控制测量、试验、检测，但乙方须人工、机械配合	按图示（不计设计允许超挖、预留变形量）的设计断面计算。含沟槽和各种附属洞室的开挖数量	包括开挖台车移位、维护维修，钻机的维修保养、开挖钻机风水管的接引、布孔、钻眼、钻孔、清孔、装药、爆破、修整、钻杆、钻头、炸药、附属油料、零配件、电费、出渣及空回等一切费用。
			详细分解如下			/	/	/	/			
			洞身开挖	m3	32.0	/	/	/	/			
			三管两路费用摊销	m3	4.5	/	/	/	/			
			电费	m3	11.0	/	/	/	/			
			扒渣、装渣	m3	11.9	/	/	/	/			
			隧道出渣（洞内+洞外1km）	m3	13.4	/	/	/	/			
			空压机	m3	1.1	/	/	/	/			
			通风机	m3	0.45	/	/	/	/			
			凿岩机	m3	1.4	/	/	/	/			
			钻孔台车	m3	0.45	/	/	/	/			
			栈桥	m3	0.8	/	/	/	/			
		002	自卸汽车每增运1km	m3	1.1	/	/	/	/			
		003	溶洞处理钻孔Φ50mm	m	55.0	/	/	/	/		按实际施工长度计算	钻机就位、钻孔、孔位转移等全部工作内容
		004	溶洞处理注浆	t	65.0	/	甲方提供水泥、水玻璃	/	/		按照注浆用水泥、水玻璃的重量结算	施工准备，水泥浆拌制、压浆，材料运输、倒运，安全文明施工等全部工作内容
		005	溶洞处理回填砼	m3	20.0	/	甲方提供砼、损耗率1%以内	/	/		按照实际回填数量结算	施工准备，搭设支架、安拆泵管，浇筑砼，振捣密实，清洗泵管、养生等全部工作内容
	03		支护									
		001	钢筋网加工运输安装	t	650.0	/	甲方提供钢筋、损耗率1%以内	/	/	甲方负责大电接至洞口处；甲方提供钢筋加工场地（含行吊）；甲方提供洞外施工主便道；甲方提供安全等标识标牌；甲方负责控制测量、试验、检测，但乙方须人工、机械配合	按设计尺寸计量。	钢筋除锈、加工、焊接、运输、安装，挂网、点焊、加固等全部工作内容
		002	砂浆锚杆	m	11.0	/	甲方提供锚杆、损耗率1%以内；注浆材料	/	/		按设计尺寸计量。	搭、拆脚手架及平台，钻孔、砂浆制作、灌浆、安装锚杆，封锚等全部工作内容
		003	中空注浆锚杆	m	11.0	/	甲方提供锚杆、损耗率1%以内；注浆材料	/	/		按设计尺寸计量。	搭、拆脚手架及平台，钻孔、砂浆制作、灌浆、安装锚杆，封锚等全部工作内容
		004	Φ42超前小导管	m	12.0	/	甲方提供小导管、损耗率1%以内；注浆材料	/	/		按设计尺寸计量。	钢管制作、运输、布眼、钻孔、顶管、砂浆制作、注浆等全部工作内容
		005	超前大管棚钻孔、顶管、注浆(Φ89～108)	m	110-125	/	甲方提供大管棚、损耗率1%以内；注浆材料	/	/		按照实际施工长度计算	场地清理、搭脚手架、布眼、钻机就位、钻孔、清孔、钢管制作、就位、顶进、注浆等全部工作内容
		006	格栅钢架	t	1150.0	/	甲方提供钢筋、损耗率1%以内	/	/		按设计尺寸计量。	钢筋调直、弯曲，型钢加工制作、运输，焊接，连接件制作，安装等全部工作内容
		007	型钢钢架	t	950.0	/	甲方提供型钢、损耗率1%以内	/	/		按设计尺寸计量。	型钢加工制作、运输，焊接，连接件制作，安装等全部工作内容
		008	洞内喷射C20砼（湿喷）	m3	260.0	/	甲方提供喷射砼、损耗率80%以内（超挖和预留沉降造成的回填以及回弹量）	/	/		按设计图示尺寸计算（超挖、预留沉降、回弹量不单独计量，费用含在综合单价中）	搭、拆脚手架，安、拆、转移机具设备，砼拌合、喷射及养护（湿喷）等全部工作内容
		009	喷射普通砼及纤维砼（潮喷）	m3	220.0	/		/	/			搭、拆脚手架，安、拆、转移机具设备，砼拌合、喷射及养护（潮喷）等全部工作内容
	04		二次衬砌									
		001	拱、墙砼（水沟采用同一单价）	m3	90.0	/	甲方提供砼、损耗率5%以内（超挖和预留沉降造成的回填、台车造成的）	甲方提供二衬台车	/	甲方负责大电接至洞口处；甲方提供钢筋加工场地（含行吊）；甲方提供洞外施工主便道；甲方提供安全等标识标牌；甲方负责控制测量、试验、检测，但乙方须人工、机械配合	按设计尺寸计量。	衬砌砼浇注，台车移动、维修及更换易损件，制安挡头板模型，安装渗水管等全部工作内容
		002	仰拱砼	m3	50.0	/	甲方提供砼、损耗率1%以内	/	/		按设计尺寸计量。	仰拱顶面清理、挡头板模型制安拆，砼灌注、振捣、安插接茬钢筋、抹面、养护等全部工作内容
		003	仰拱填充砼	m3	40.0	/	甲方提供砼、损耗率1%以内	/	/		按设计尺寸计量。	仰拱顶面清理、挡头板模型制安拆，砼灌注、振捣、安插接茬钢筋、抹面、养护等全部工作内容
		004	钢筋	t	560.0	/	甲方提供钢筋、损耗率1%以内	/	/		按完工后设计数量计量。	钢筋除锈、加工、运输、搭拆脚手架、绑扎、焊接、加固等全部工作内容
	05		防水工程									
		001	防水板	m2	5.0	/	甲方提供防水板，损耗率5%以内	防水板台车甲方提供钢材、乙方加工	/	甲方负责大电接至洞口处；甲方提供洞外施工主便道；甲方提供安全等标识标牌；甲方负责控制测量、试验、检测，但乙方须人工、机械配合	按完工后设计数量计量。	搭拆工作平台，钻眼钉锚、敷设及焊接防水板及明洞涂刷防水涂料等全部工作内容
		002	土工布	m2	1.5	/	甲方提供土工布，损耗率2%以内		/		按完工后设计数量计量。	清理铺设面、运料、铺设土工布、搭接并固定等全部工作内容
		003	止水条	m	2.0	/	甲方提供止水条，损耗率2%以内		/		按完工后设计数量计量。	运料、制作安装，检查等全部工作内容
		004	止水带	m	5.0	/	甲方提供止水带，损耗率4%以内		/		按完工后设计数量计量。	运料、制作安装，检查等全部工作内容
		005	透水盲管	m	1.5	/	甲方提供透水盲管，损耗率1%以内		/			
		006	φ110PVC排水管	m	2.0						按设计图示尺寸以长度计量	运料、制作、安装、检查
六			混凝土拌合运输									
		001	砼拌合费用	m3	15.0	/	甲方按配比提供拌合原材料	/	甲方提供拌合机	甲方提供拌合站场地建设、高压电力干线、安全等标识标牌	按实际拌合砼量计算	配料、拌制、出料及清洗等全部工作内容
		002	砼运输费用  运距≤5km	m3	25.0	/	/	/	/	/	砼数量按实际运输数量计列	等待装料、运输、卸料、空回、清洗车辆
		003	砼运输增运费	m3•km	2.0	/	/	/	/	/	砼数量按实际运输数量计列，增运不足0.5Km的，四舍五入不计，0.5－ 1.0Km的按1Km计列	等待装料、运输、卸料、空回、清洗车辆
七			临时工程									
		001	围墙、隔墙等砌筑工程	m³	160.0	/	甲方提供砖、砂浆	/	/	/	按现场实际围墙、隔墙长度与设计墙厚、墙高之积计算	砌筑用材料的场内倒运，砌筑用灰浆拌制，脚手架提供、搭拆、维护、场内外运输，铺浆、砌筑、养护，各类管线通道及洞口预留、预 埋，门窗洞口预留，现场清理等所有相关工序和费用
		002	地面砼硬化	m³	60.0	/	甲方提供砼	/	/	/	按现场实际完成且不超设计的合格圬工体积计算	混凝土泵送、场内运输、浇筑、振捣、养护，各类管线通道及洞口预留；消防、通风管道、通道预埋、预留，相关洞槽预留
		003	垫层混凝土	m³	50.0	/	甲方提供砼	/	/	/	按现场实际完成且不超设计的合格体积计算	下承层整平、夯实、模板安拆、垫层、浇筑砼
、养护
		004	制梁、存梁台座砼	m³	120.0	/	甲方提供砼	/	/	/	按现场实际完成且不超设计的合格体积计算	模板安拆、浇筑砼、养护
		005	料仓隔墙砼	m³	150.0	/	甲方提供砼	/	/	/	按现场实际完成且不超设计的合格体积计算	模板安拆、浇筑砼、养护
		006	20mm砂浆抹面	m²	8.0	/	甲方提供砂浆	/	/	/	按现场实际完成的合格圬工面积计算	抹灰材料场内倒运、灰浆拌制，基层清理、刷浆、打底、抹灰、清面、压光、养护、现场清
理以及相关工序和费用
		007	钢筋制作、安装	t	550.0	/	甲方提供钢筋	/	/	/	按设计图示尺寸计算重量，不计搭接、损耗	制作、运输、绑扎
		008	地板砖铺设	m²	22.0	/	甲方提供砂浆、地板砖	/	/	/	按现场实际完成且不超设计的合格面积计算	清理基层、调运水泥砂浆及刷素水泥浆、试排弹线、锯板修边、铺贴饰面、擦缝、清理净面
		009	贴墙砖	m²	25.0	/	甲方提供砂浆、地板砖	/	/	/	按现场实际完成且不超设计的合格面积计算	清理修补基层表面、打底抹灰、砂浆找平、选料、抹结合层砂浆、贴磁砖、擦缝、清洁表面
		010	人工挖土方	m³	20.0	/	/	/	/	/	按现场实际完成且不超设计的合格体积计算	挖土、装土、将土倒至地面、修理底边、拍底
