房建工程劳务分包/专业分包指导价									
项	序号	编号	细目名称	单位	指导价（元）		费用组成（采用反向描述的方式，列举出所有甲方承担的费用，除此以外的全部费用由乙方承担，费用包含在单价中）	计量规则	工作内容
					单价	调价	甲方提供材料及机械、设备等		
一			建筑工程						
	01		钢筋砼工程						
		001	钢筋工程	㎡（建筑面积）	50.0		图纸设计范围内施工用钢筋	根据设计按实际完成工程量计算	所有钢筋进场吊运、卸车转运、堆码配料、翻样加工、各类焊接、电渣压力焊、绑扎连接、直螺纹刻丝连接，止水钢板焊接及安装，水泥撑和垫块安装，配合安装工程预留预埋，配合钢筋试验所需的钢筋试件制作及装卸，桩头钢筋调直并焊接，废料钢筋的整理回收，浇筑砼时钢筋的看护整修，其他所有预埋铁件加工、焊接及安装，具体施工技术标准及质量要求见项目部下发施工图纸及技术交底
		002	钢筋工程	t	800.0		塔吊、直螺纹套筒、钢筋、止水钢板、预埋铁件、橡胶止水带、止水条	根据设计按实际完成工程量计算	所有钢筋进场吊运、卸车转运、堆码配料、翻样加工、各类焊接、电渣压力焊、绑扎连接、直螺纹刻丝连接，止水钢板焊接及安装，水泥撑和垫块安装，配合安装工程预留预埋，配合钢筋试验所需的钢筋试件制作及装卸，桩头钢筋调直并焊接，废料钢筋的整理回收，浇筑砼时钢筋的看护整修，其他所有预埋铁件加工、焊接及安装，具体施工技术标准及质量要求见项目部下发施工图纸及技术交底
		003	混凝土工程	㎡（建筑面积）	25.0		基础及主体施工用混凝土	根据设计按实际完成工程量计算	浇筑设备的安装、清洗、维护、保管；混凝土的运输、浇筑、找平、抹面、养护、清理、剔凿、维修、后浇带保护、砼试块制作及装卸，截（凿）桩头 ，具体施工技术标准及质量要求见项目部下发施工图纸及技术交底
		004	混凝土工程	m3	45.0		基础及主体施工用混凝土	根据设计按实际完成工程量计算	浇筑设备的安装、清洗、维护、保管；混凝土的运输、浇筑、找平、抹面、养护、清理、剔凿、维修、后浇带保护、砼试块制作及装卸，截（凿）桩头 ，具体施工技术标准及质量要求见项目部下发施工图纸及技术交底
		005	PC构件安装	m3	410.0		PC构件、灌浆料、塔吊	根据设计按实际完成工程量计算	卸车、PC构件连接钢筋预埋、安装、灌浆，楼梯等构件的成品保护，具体施工技术标准及质量要求见项目部下发施工图纸及技术交底
	02		砌体及二次构件工程						
		001	砖胎模砌筑	m3	280.0		砖、水泥、石子、砂、施工用水及主管道	根据设计按实际完成工程量计算	基础桩承台、筏板基础及地梁砖胎膜砌筑。
		002	砌筑工程	m3	260.0		砌块、粘结剂、拉结筋、砂浆。	根据设计按实际完成工程量计算	1、砌筑砂浆制作、运输
2、砌块运输和砌筑
3、砌体内加筋制作和安装
4、勾缝
除以上4项具体内容外，包括从材料场内运输直至按图纸完成砌筑工程过程中所有的工作内容。
		003	构造柱、腰梁、过梁、止水坎、门槛(含模板、钢筋、砼)	m	45.0		钢筋、水泥、砂、混凝土、方木、模板	根据设计按实际完成工程量计算	包括但不限于主楼及地下车库二次结构的砼、模板制作及安装工程、钢筋加工、绑扎及植筋工程（包括但不限于圈梁、过梁（≥300mm洞口）、构造柱、窗台压顶、止水翻沿、腰梁等所有二次结构）、细部放线、电梯机房及电梯基座、架机梁洞口封堵与混凝土浇筑（包含电梯预留洞及门洞止水台施工）、阳台立管止水台封堵等，具体施工技术标准及质量要求见项目部下发施工图纸及技术交底。
		004	二次结构混凝土(含模板、钢筋、砼)	m³	1000.0		钢筋、预埋铁件、混凝土、方木、模板	根据设计按实际完成工程量计算	包括但不限于主楼及地下车库二次结构的砼、模板制作及安装工程、钢筋加工、绑扎及植筋工程（包括但不限于圈梁、过梁（≥300mm洞口）、构造柱、窗台压顶、止水翻沿、腰梁等所有二次结构）、细部放线、电梯机房及电梯基座、架机梁洞口封堵与混凝土浇筑（包含电梯预留洞及门洞止水台施工）、阳台立管止水台封堵等，具体施工技术标准及质量要求见项目部下发施工图纸及技术交底。
		005	植筋工程直径10mm以内	根	1.0		钢筋	根据设计按实际完成工程量计算	植筋工艺标准要求全部内容，含验收、脚手架，综合单价，包括c10本身，包工料，不含钢筋。
		006	植筋工程直径10mm以上	根	2.5		钢筋	根据设计按实际完成工程量计算	植筋工艺标准要求全部内容，含验收、脚手架，综合单价，不包括c10本身，包工料，不含钢筋
	03		屋面及防水工程						
		001	单层SBS改性沥青
防水卷材	m2	10.0		防水卷材、塔吊及塔司	根据设计按实际完成工程量计算	所有防水卷材进场的卸车、转运（场内防水材料的水平运输和垂直运输）、堆放；基层清理，刷基层处理剂，铺贴附加层，铺贴卷材（热熔接缝），防水层铺贴层数；桩头渗透结晶及止水环防水处理；闭水试验。
		002	双层SBS改性沥青
防水卷材	m2	15.0		防水卷材、塔吊及塔司	根据设计按实际完成工程量计算	所有防水卷材进场的卸车、转运（场内防水材料的水平运输和垂直运输）、堆放；基层清理，刷基层处理剂，铺贴附加层，铺贴卷材（热熔接缝），防水层铺贴层数；桩头渗透结晶及止水环防水处理；闭水试验。
		003	单层4厚SBS改性沥青
防水卷材	㎡	45.0		无	根据设计按实际完成工程量计算	采用4.0厚SBS改性沥青防水卷材防水。包括基层清理、防水施工的翻边预留及保护、搭接、二次施工翻边的清理、接茬的处理、伸缩缝处的维护处理、下料、封边、收头、阴阳角附加、孔洞、管道及水斗的收口、附加层等所有防水操作程序及图纸注明的作法，具体做法以甲方技术交底为准；以及场地清理，配合验收、资料整理等全部施工内容。
		004	双层4+3厚SBS改性沥青
防水卷材	㎡	75.0		无	根据设计按实际完成工程量计算	4.0厚SBS高聚物改性沥青防水卷材+3.0厚SBS改性沥青防水卷材（聚酯胎Ⅰ型）。包括基层清理、防水施工的翻边预留及保护、搭接、二次施工翻边的清理、接茬的处理、伸缩缝处的维护处理、下料、封边、压条、收头、阴阳角附加、孔洞、管道及水斗的收口、附加层、翻边的页岩处理等所有防水操作程序及图纸注明的作法，具体做法以甲方技术交底为准；以及场地清理，配合验收、资料整理等全部施工内容
		005	楼(地)面涂膜防水	m2	9.0		防水涂料	根据设计按实际完成工程量计算	包括但不限于主楼及地下车库有水房间地面基层处理、找平、涂刷底胶、分层涂刷防水涂料、闭水试验、安全文明施工（包括但不限于工完料清）具体施工技术标准及质量要求见项目部下发施工图纸及技术交底。
		006	楼(地)1.5厚聚氨酯涂膜防水	m2	20.0		无	根据设计按实际完成工程量计算	防水做法：
1.5厚聚氨酯防水涂料，含上翻高度
		007	楼(地)1.5厚聚合物水泥基防水涂料	㎡	20.0		无	根据设计按实际完成工程量计算	1.6聚合物水泥防水涂料。包括基层清理、防水施工的翻边预留及保护、搭接、二次施工翻边的清理、接茬的处理、伸缩缝处的维护处理、下料、封边、压条、收头、阴阳角附加、孔洞、管道及水斗的收口、附加层、翻边的页岩处理等所有防水操作程序及图纸注明的作法，具体做法以甲方技术交底为准；以及场地清理，配合验收、资料整理等全部施工内容
		008	有保温平屋面（屋面1）	㎡	45.0		混凝土、钢筋网片、嵌缝料、滴水条、网格布、聚苯板、砂浆、水泥、防水剂等设计图纸中的永久性材料。	根据设计按实际完成工程量计算	平屋面、内天沟、露台、楼梯间屋面，有保温层
1、 50厚C20细石防水混凝土随捣随抹 (配φ6@200单层双向钢筋网片,分格缝纵横间距不应大于6m,钢筋网片在分格缝处、沿露台周边应断开,缝宽12mm,缝嵌防水油膏),保护层伸出檐沟60并在下侧做滴水
2、干铺耐碱玻纤网格布一道
3、挤塑聚苯板(厚度详见各子项的建筑节能设计说明)
4、20厚DSM20砂浆找平 
5、现浇屋面板清理后纯水泥浆掺5%防水剂清扫填毛细缝。
		009	无保温平屋面（屋面2）	㎡	40.0		混凝土、钢筋网片、嵌缝料、滴水条、网格布、砂浆、水泥、防水剂等设计图纸中的永久性材料。	根据设计按实际完成工程量计算	平屋面，无保温层
1、50厚C20细石防水混凝土随捣随抹 (配φ6@200单层双向钢筋网片,分格缝纵横间距不应大于6m,钢筋网片在分格缝处、沿露台周边应断开,缝宽12mm,缝嵌防水油膏),保护层伸出檐沟60并在下侧做滴水
2、干铺耐碱玻纤网格布一道
3、20厚DSM20砂浆找平 
4、现浇屋面板清理后纯水泥浆掺5%防水剂清扫填毛细缝。
	04		保温隔热防腐工程						
		001	外墙面保温工程（50mm）	m2	55.0		包括临时设施、水电、占地和道路的协调和修建的费用	根据设计按实际完成工程量计算	设计图纸要求所需完成的主楼、门卫外墙保温工程施工的人工费、材料费、机械费、管理费、利润、水电费、风险费、措施费、规费、税金、临时设施、安全防护
		002	保温隔热屋面	㎡	15.0		无机保温浆料、界面砂浆、耐碱玻璃纤维网格布、水泥、抗裂剂、保温材料	根据设计按实际完成工程量计算	1、基层清理
2、刷粘贴材料
3、铺粘贴保温层
4、铺、刷（喷）防护材料
		003	保温隔热天棚	㎡	15.0		无机保温浆料、界面砂浆、耐碱玻璃纤维网格布、水泥、抗裂剂、保温材料	根据设计按实际完成工程量计算	1、基层清理
2、刷粘贴材料
3、铺粘贴保温层
4、铺、刷（喷）防护材料
		004	保温隔热墙面	㎡	15.0		无机保温浆料、界面砂浆、耐碱玻璃纤维网格布、水泥、抗裂剂、保温材料	根据设计按实际完成工程量计算	1、基层清理
2、刷界面剂
3、安装龙骨
4、填贴保温材料
5、保温板安装
6、粘贴面层
7、铺设增强格网、抹抗裂、防水砂浆面层
8、嵌缝
9、铺、刷（喷）防护材料
		005	保温隔热楼地面	㎡	15.0		无机保温浆料、界面砂浆、耐碱玻璃纤维网格布、水泥、抗裂剂、保温材料	根据设计按实际完成工程量计算	1、基层清理
2、刷粘贴材料
3、铺粘贴保温层
4、铺、刷（喷）防护材料
		006	地下室保温外墙面	㎡	5.0		挤塑聚苯板、粘结材料	根据设计按实际完成工程量计算	地下室外墙面挤塑聚苯板50厚
二			装饰装修工程						
	01		楼地面工程						
		001	细石混凝土楼地面（楼2）	㎡	15.0		混凝土、水泥、建筑胶	根据设计按实际完成工程量计算	1、30厚C20细石混凝土面层(加纯水泥浆随捣随抹平) 
2、素水泥浆一道(内参建筑胶)
3、现浇钢筋混凝土楼板基层清洁、湿润
		002	细石混凝土垫层（人工搅拌）	m2	23.0		水泥、砂、石料	根据设计按实际完成工程量计算	拌运混凝土、分层铺设、压实、养护
		003	细石混凝土垫层（商混）	m2	10.0		混凝土	根据设计按实际完成工程量计算	调运混凝土、分层铺设、压实、养护
		004	水泥砂浆楼地面	m2	18.0		砂浆料	根据设计按实际完成工程量计算	清理基层,调运砂浆、刷素水泥浆,抹面、压光、养护等
		005	水泥砂浆楼梯面	m²投影	30.0		砂浆料	根据设计按实际完成工程量计算	调运砂浆、分层铺设、压实、养护
		006	水泥砂浆踢脚线	m	5.0		砂浆	根据设计按实际完成工程量计算	砂浆踢脚线施工全部内容
		007	块料楼地面面层	m2	30.0		地砖、水泥、砂	根据设计按实际完成工程量计算	包括但不限于主楼楼地面贴砖及地砖同质踢脚线基层处理、放线、找平、铺砖、勾缝、擦缝、养护、安全文明施工（包括但不限于工完料清）具体施工技术标准及质量要求见项目部下发施工图纸及技术交底。
		008	块料楼梯面层	m2	40.0		地砖、预拌砂浆、水泥、砂	根据设计按实际完成工程量计算	包括但不限于主楼楼梯地面贴砖基层处理、放线、找平、铺砖、勾缝、擦缝、养护、安全文明施工（包括但不限于工完料清）具体施工技术标准及质量要求见项目部下发施工图纸及技术交底。
		009	石材楼、地面	m2	60.0		石质板材、水泥、砂	根据设计按实际完成工程量计算	地面清理、选材、场内运输、调制砂浆、锯板、铺贴、擦缝、成品保护、养护
		010	楼梯踏步石材铺贴	m2	75.0		石质板材、水泥、砂	根据设计按实际完成工程量计算	地面清理、选材、场内运输、调制砂浆、锯板、铺贴、擦缝、成品保护、养护
		011	过门石铺贴	块	25.0		石质板材、水泥、砂	根据设计按实际完成工程量计算	地面清理、选材、场内运输、调制砂浆、锯板、铺贴、擦缝、成品保护、养护
		012	地砖/石材踢脚线粘贴	m	10.0		地砖/石质板材	根据设计按实际完成工程量计算	地面清理、选材、场内运输、调制砂浆、锯板、铺贴、擦缝、成品保护、养护
		013	楼梯，台阶踏步防滑条	m	1.0		防滑条	根据设计按实际完成工程量计算	防滑条施工全部内容
	02		墙柱面工程						
		001	内墙面一般抹灰	m2	18.0		预拌砂浆、水泥、砂	根据设计按实际完成工程量计算	包括但不限于主楼及地下车库内墙面的墙体基底的清理、按要求钉设网片、甩浆、灰饼、冲筋、墙体的分层抹灰、护角、螺杆洞封堵、踢脚、线盒收边收口、风管风阀百叶收边收口、消防箱收边收口、门洞及窗户塞缝及收边收口、所有预留洞口收边收口、简易脚手架的搭设及拆除、安全文明施工（包括但不限于工完料清）具体施工技术标准及质量要求见项目部下发施工图纸及技术交底。
		002	外墙面一般抹灰	m2	25.0		水泥、砂、玻纤网、钢丝网	根据设计按实际完成工程量计算	1、基层清理，2、砂浆制作运输，3、铺抗裂材料，4、抹底灰及面层，5、勾分隔缝，6、材料运输。
		003	抹灰工程（挂钢筋网片）	m2	28.0		专用界面砂浆、抹灰砂浆、钢筋网片	根据设计按实际完成工程量计算	1）2mm厚配套专用界面砂浆批刮
2）挂钢筋片
 3）7mm厚1：1：6水泥石灰砂浆
4）6mm厚1：0.5：3水泥石灰砂浆抹平
		004	干挂石材	m2	150.0		石材、龙骨、螺栓	根据设计按实际完成工程量计算	吊垂直、套方、找规矩、龙骨固定安装、安装挂件、安装石材、灌浆、打胶、打蜡、表面清理等、成品保护、养护，含理石钻孔、修边
		005	干挂瓷砖	m2	140.0		瓷砖、龙骨、螺栓	根据设计按实际完成工程量计算	龙骨安装、安装挂件、安装瓷砖、灌浆、打胶、打蜡、表面清理等、成品保护、养护，含理石钻孔、修边
	03		天棚工程						
		001	天棚抹灰	m2	19.0		抹灰砂浆	根据设计按实际完成工程量计算	1.基层清理
2.底层抹灰
3.抹面层
		002	轻钢龙骨装饰石膏板吊顶	㎡	28.0		龙骨及板材	根据设计按实际完成工程量计算	1）轻钢龙骨单层骨架：次龙骨中距500或600，横撑龙骨中距500~600
 2）600*1200厚12装饰石膏板，自攻螺钉拧牢，孔眼用腻子填平
		003	铝合金板吊顶	㎡	30.0		龙骨及板材	根据设计按实际完成工程量计算	1）配套金属龙骨
 2）铝合金条形板
		004	轻钢龙骨矿棉板吊顶	㎡	25.0		龙骨及板材	根据设计按实际完成工程量计算	1）铝合金配套龙骨，主龙骨中距900~1000，T型龙骨中距300或600，横撑中距600
 2）15mm厚300*600或600*600开槽矿棉装饰板
	04		油漆、裱糊工程						
		001	内墙乳胶漆	㎡	13.0		无	根据设计按实际完成工程量计算	1）清理抹灰基层
 2）刮腻子二遍，分遍抹平
 3）涂饰底层涂料
 4）复补腻子，抹平
 5）涂饰面层涂料二遍
		002	顶棚乳胶漆	㎡	14.0		无	根据设计按实际完成工程量计算	1）清理抹灰基层
 2）刮腻子二遍，分遍抹平
 3）涂饰底层涂料
 4）复补腻子，抹平
 5）涂饰面层涂料二遍
		003	防水乳胶漆	㎡	23.5		无	根据设计按实际完成工程量计算	1、两遍成品腻子
2、一遍外墙防水腻子
3、两遍外墙乳胶漆
		004	外墙涂料	㎡	30.0		乳胶漆	根据设计按实际完成工程量计算	1.基层清理
2.刮腻子
3.刷、喷涂料
三			安装工程						
	01	001	消防专业分包	㎡（建筑面积）	80.0		无	根据设计按实际完成工程量计算	（1）图纸范围内的消防喷淋系统安装、室内消火栓系统安装、消防泵房系统安装、消防排烟系统（不含控制柜及其前端进线）、消防自动报警及联动控制系统、消防电源监控系统安装、电气火灾监控系统、防火门监控
系统、末端试水装置、水泵接合器及各管道吊洞封堵、阻火圈安装；
其中消防泵、喷淋泵、各种风机、静电式油烟净化器、阻火圈为甲
供材，其余各项材料均由乙方自行提供。
（2）、以上各系统均施工至外墙皮 1.5m 处。
（3）、不含前期预留预埋、室外部分、通风系统、气体灭火装置系
统、防火卷帘门系统等工程。
	02	001	水电安装工程	㎡（建筑面积）	20.0		主材	根据设计按实际完成工程量计算	1、电气照明系统，电气动力系统，防雷及接地，电话、宽带、电视，门禁对讲系统，安全防范智能化系统，给水系统，污废水排水系统，雨水、凝结水系统，通风、空调、防排烟系统，电梯工程、燃气工程、安防工程、智能化工程。  2、配合土建洞口预留、水电管道挖沟、回填土，    3、管道、套管、支架的制作安装调试冲洗等，管道、桥架穿墙板的封堵。
	03	001	采暖工程	㎡（建筑面积）	6.0		采暖管材、管件、型钢、各种规格阀门、各类仪表、减压阀、过滤器、伸缩器、软接头、保温材料、塑料槽、散热器、控制器及温度计、排风扇	根据设计按实际完成工程量计算	管道敷设及支架制作安装、设备安装、管道附件安装、系统调试
	04	001	通风空调劳务费	㎡（建筑面积）	15.0		空调、设备等	根据设计按实际完成工程量计算	通风井及空调设备的安装的人工费
四			措施项目						
	01	001	外脚手架工程	m2（建筑面积）	15.0		钢管、扣件、架板、钢丝绳、工字钢、安全网、密目网	根据设计按实际完成工程量计算	外架搭设、过程维修及拆除，挂安全网（含水平防护网），工字钢制作及安装，预埋铁件，钢丝绳挂设，脚手板铺设，油漆涂刷，悬挑层外架硬防护，操作棚（含钢筋、木料及电箱）搭拆，洞口邻边防护及维修（楼梯口、电梯井口、预留洞口、施工通道口、其他存在安全隐患的洞口、尚未安装栏杆或栏板的阳台、出挑平台、雨篷与挑檐边、屋面与楼层边，出料平台边及基坑槽边等位置），电梯井每层硬防护，施工电梯各层防护及安全通道防护，卸料平台安装及拆除，外挑架工字钢洞口封堵，挂拆宣传标语。
		002	满堂脚手架基本层（层高3.6米以下）	水平投影面积	7.0		钢管、扣件	根据设计按实际完成工程量计算	场内、外材料运输,选料,安装底座、搭设脚手架,上下翻板子和拆除后材料的整理堆放
		003	满堂脚手架增加层（层高3.6米以上每增加1.0米）	水平投影面积	3.0		钢管、扣件	根据设计按实际完成工程量计算	场内、外材料运输,选料,安装底座、搭设脚手架,上下翻板子和拆除后材料的整理堆放
		004	脚手架工程	㎡（建筑面积）	55.0		无	根据设计按实际完成工程量计算	1）外脚手架搭拆，预埋件加工、预埋，室内电梯井道的水平防护。
2）木工、钢筋工、搅拌机等操作防护棚搭拆，人行斜道、安全通道搭拆。
3）“四口、五临边”等安全围护，塔吊、卸料平台、人货电梯平台防护及搭拆。
4）施工现场的所有脚手架及防护措施的维护(含正常施工程序内的维护多次)，安全网安装拆除、清洗及更换，钢管刷油漆及黑黄安全色标，脚手板、挡脚板、防滑条安拆。
5）安装和维护现场所有安全防护及安全标志牌，包括应甲方要求对现场安全防护的临时拆除及恢复。
6）配合甲方及其它工种工作，挂设CI标识、标语和广告等。
	02	001	模板工程	m2(沾模面积）	40.0		模板、方木、止水螺杆、顶底托	根据设计按实际完成工程量计算	测量放线（甲方仅提供两条主控制线）、模板进场吊运、场内运输，模板配备、制作、安装、拆模、螺杆凿除（将浇筑在混凝土中的螺杆两端外露段截除，并用与建筑物同标号强度的水泥砂浆填实抹光），堵墙眼、清理归堆，挑架木盒子制作安装及拆除，放线孔预留及封堵、施工洞口预留（按照施工结构图纸和建筑图纸中洞口的预留，含设计变更）。
		002	模板工程	㎡（建筑面积）	150.0		无	根据设计按实际完成工程量计算	1）图纸设计范围内基础及主体结构、楼梯、后浇带、电梯基坑、屋面造型、管井、雨篷、挑檐、混凝土翻边、设备基础等施工所涉及的模板制作安装及支撑系统搭拆。
2）塔吊基础模板制作安装，洞口的预留（包括安装工程上的洞口）。
3）方木、模板使用后起钉归类码放，螺杆凿除及维修，爆模凿除、修补，柱梁螺杆洞封堵，焊接模板定位筋。
4）模板、方木、钢管、扣件等材料到场装卸车及场内搬运、码放以及使用后的归类、整理、归还。
5）成品保护（楼梯踏步、柱四角用木板保护）。
6）混凝土浇筑前的清理、刷脱模剂。
