铁路工程劳务分包/专业分包指导价												
		006	格栅钢架	t	1150.0	/	甲方提供钢筋、损耗率1%以内	/	/		按设计尺寸计量。	钢筋调直、弯曲，型钢加工制作、运输，焊接，连接件制作，安装等全部工作内容
		007	型钢钢架	t	950.0	/	甲方提供型钢、损耗率1%以内	/	/		按设计尺寸计量。	型钢加工制作、运输，焊接，连接件制作，安装等全部工作内容
		008	洞内喷射C20砼（湿喷）	m3	260.0	/	甲方提供喷射砼、损耗率80%以内（超挖和预留沉降造成的回填以及回弹量）	/	/		按设计图示尺寸计算（超挖、预留沉降、回弹量不单独计量，费用含在综合单价中）	搭、拆脚手架，安、拆、转移机具设备，砼拌合、喷射及养护（湿喷）等全部工作内容
		009	喷射普通砼及纤维砼（潮喷）	m3	220.0	/		/	/			搭、拆脚手架，安、拆、转移机具设备，砼拌合、喷射及养护（潮喷）等全部工作内容
	03		二次衬砌									
		001	拱、墙砼（水沟采用同一单价）	m3	90.0	/	甲方提供砼、损耗率5%以内（超挖和预留沉降造成的回填、台车造成的）	甲方提供二衬台车	/	甲方负责大电接至洞口处；甲方提供钢筋加工场地（含行吊）；甲方提供洞外施工主便道；甲方提供安全等标识标牌；甲方负责控制测量、试验、检测，但乙方须人工、机械配合	按设计尺寸计量。	衬砌砼浇注，台车移动、维修及更换易损件，制安挡头板模型，安装渗水管等全部工作内容
		002	仰拱砼	m3	50.0	/	甲方提供砼、损耗率1%以内	/	/		按设计尺寸计量。	仰拱顶面清理、挡头板模型制安拆，砼灌注、振捣、安插接茬钢筋、抹面、养护等全部工作内容
		003	仰拱填充砼	m3	40.0	/	甲方提供砼、损耗率1%以内	/	/		按设计尺寸计量。	仰拱顶面清理、挡头板模型制安拆，砼灌注、振捣、安插接茬钢筋、抹面、养护等全部工作内容
		004	钢筋	t	560.0	/	甲方提供钢筋、损耗率1%以内	/	/		按完工后设计数量计量。	钢筋除锈、加工、运输、搭拆脚手架、绑扎、焊接、加固等全部工作内容
	04		防水工程									
		001	防水板	m2	5.0	/	甲方提供防水板，损耗率5%以内	防水板台车甲方提供钢材、乙方加工	/	甲方负责大电接至洞口处；甲方提供洞外施工主便道；甲方提供安全等标识标牌；甲方负责控制测量、试验、检测，但乙方须人工、机械配合	按完工后设计数量计量。	搭拆工作平台，钻眼钉锚、敷设及焊接防水板及明洞涂刷防水涂料等全部工作内容
		002	土工布	m2	1.5	/	甲方提供土工布，损耗率2%以内		/		按完工后设计数量计量。	清理铺设面、运料、铺设土工布、搭接并固定等全部工作内容
		003	止水条	m	2.0	/	甲方提供止水条，损耗率2%以内		/		按完工后设计数量计量。	运料、制作安装，检查等全部工作内容
		004	止水带	m	5.0	/	甲方提供止水带，损耗率4%以内		/		按完工后设计数量计量。	运料、制作安装，检查等全部工作内容
四			轨道工程									
	01		新建铁路									
			正线									
		001	人工铺轨（1667根/km）	km	55000.0		轨枕、钢轨、扣配件，损耗率均为0；硫磺(损耗率2%)、砂子(损耗率3%)、水泥(损耗率2%)、石蜡(损耗率2%)；	/	/	/	按甲方验收合格工程量计量	根据甲方的供料计划收料、卸车，按照图纸要求将钢轨、轨枕等材料沿线人工散布在路基上。挂线散枕、摆排轨枕、硫磺锚固、钢轨划印、方正轨枕，散布与安装钢轨配件和轨枕扣件，上油、检修、拨荒道，轨枕底垫碴及配合完成本项工作所需零星作业等。
		002	连续梁段人工铺轨	km	130000.0		同上	/	/	/	按甲方验收合格工程量计量	按照图纸要求将钢轨、轨枕等材料沿线人工散布在连续梁上。挂线散枕、摆排轨枕、硫磺锚固、钢轨划印、方正轨枕，散布与安装钢轨配件和轨枕扣件，上油、检修、拨荒道，轨枕底垫碴及配合完成本项工作所需零星作业等。
		003	人工整道（160km/h）	km	45000.0		/	/	/	/	按甲方验收合格工程量计量	人工平整道碴、起道、串碴、方正轨枕、紧固扣件、紧固鱼尾板和鱼尾螺栓、补扣件、补丢失的鱼尾板和连接配件、捣固道床、拨正轨道方向、起拨三角坑、根据要求速度设置曲线外轨超高、人工匀碴、封碴、回填枕盒内道碴、螺栓涂油，配合大机作业，路容路貌整理，道床成型达到设计断面要求，100m范围内材料倒运等全部工作内容。自带起拨道机、液压捣固机等与完成本工作所需的所有小型机具。
		004	底砟摊铺	m3	16.0		甲方提供道砟	/	/	/	按甲方验收合格工程量计量	道砟运至现场后协助卸车、倒运、摊铺、碾压、整形、挖槽、撒灰线等。
		005	钢轨打眼	个	40.0		/	/	/	/	按甲方验收合格工程量计量	含人工费、打眼机使用费、燃油动力费等费用。
		006	锯轨（标准轨）	处	50.0		/	/	/	/	按甲方验收合格工程量计量	含人工费、锯轨机使用费、锯片等费用。
		007	倒运轨枕	根	12.0		/	/	/	/	按甲方验收合格工程量计量	含装卸轨枕、倒运及配合完成本项工序所需的零星作业等。单价含本项工序所需的人工、机械、工器具、零星材料等费用。平均运距5km。
		008	换铺长轨	铺轨公里	15000.0		轨料（含钢轨、轨枕、扣配件）	/	/	/	按甲方验收合格工程量计量	配合长轨卸车、加固巡养、换铺长轨、涂油、更换胶垫及补充扣件、回收调整块等余料、桥梁段工具轨拨至护轮轨承轨槽内、路基段工具轨拨至道砟边坡、紧固扣件、恢复线路及完成本项工序所需的零星作业等。
		009	人工配合单元焊	铺轨公里	5500.0		/	/	/	/	按甲方验收合格工程量计量	焊前打磨、锯轨、垫钢轨、配合焊轨、拆装扣件、支垫滚筒、串轨、恢复线路、合拢口及配合完成本项工序所需的零星作业等。
		010	应力放散锁定	铺轨公里	13500.0		/	/	/	/	按甲方验收合格工程量计量	施工准备、扒道砟（少量影响放散施工的砟）、松扣件、安装滚轮支撑钢轨、安拆拉伸器和撞轨器、长轨应力放散、紧扣件、道床整理、方正接头轨枕、线路锁定、锯轨、打眼、焊前打磨、配合焊轨、标定锁定轨温、放散后涂油、恢复线路及完成本项工序所需的零星作业等。
		011	正火打磨	一个焊头	1050.0		/	/	/	/	按甲方验收合格工程量计量	正线焊头的正火、粗磨、细磨等达到技术规范要求及完成本项工序所需的零星作业；型式检验试验焊头的钢轨搬运、焊前打磨、锯轨、除锈、正火、粗磨、细磨等达到技术规范要求及完成本项工序所需的零星作业。
		012	护轮轨安装	km	25000.0		钢轨、扣配件，损耗率均为0	/	/	/	按甲方验收合格工程量计量	含扣配件途卸、散扣件、上扣件、连接鱼尾板、锯轨、打眼、插入短轨及完成本项工序所需的零星作业等。
		013	梭头安装	一座桥	1600.0		护轨梭头（损耗率为0）	/	/	/	按甲方验收合格工程量计量	含材料卸车、梭头安装、锯轨、打眼及完成本项工序所需的零星作业等。
		014	抽换电容枕（路基段）	根	220.0		护轨梭头（损耗率为0）	/	/	/	按甲方验收合格工程量计量	含扒碴、抽换枕木、回填道碴、旧枕码放及完成本项工序所需的零星作业等。更换线路失效枕木按抽换电容枕单价进行验工计价。
		015	抽换电容枕（桥隧段）	根	320.0		电容枕（损耗率为0）	/	/	/	按甲方验收合格工程量计量	同上
		016	路容路貌整理	km	6000.0		/	/	/	/	按甲方验收合格工程量计量	人工匀碴、封碴、回填枕木盒内道碴、整理道床，道床外观、几何尺寸整理至设计规范要求及完成本项工序所需的零星作业等。含补砟后的道床整理，清理步行板、人行道、枕木上表面、扣配件道碴，清理枕木盒内高于枕木面道碴等。
		017	钢轨铝热焊	一个焊头	2200.0		电容枕（损耗率为0）	/	/	/	按甲方验收合格工程量计量	焊前准备、钢轨端头打磨、除锈、钢轨对正、立砂模、预热、装焊药、放置坩埚、点火、钢水浇注、拆除砂模、推瘤、热打磨、冷打磨、焊头检测等及完成本项工序所有的零星作业。含甲方提供材料的领料、倒运、看护等。
		018	胶接冻接接头	一个接头	1600.0		胶接冻结接头材料（损耗率为0）	/	/	/	按甲方验收合格工程量计量	钢轨准备、绝缘缝切割、钻孔、打磨除锈、干燥处理、对轨、预安装、和成胶泥、螺栓紧固、电阻检测及完成本工序所需的零星作业。
			站线									
		019	人工铺轨（1520根/km）	km	55000.0		轨枕、钢轨、扣配件，损耗率均为0；硫磺(损耗率2%)、砂子(损耗率3%)、水泥(损耗率2%)、石蜡(损耗率2%)；	/	/	/	按甲方验收合格工程量计量	根据甲方的供料计划收料、卸车，按照图纸要求将钢轨、轨枕等材料沿线人工散布在路基上。挂线散枕、摆排轨枕、硫磺锚固、钢轨划印、方正轨枕，散布与安装钢轨配件和轨枕扣件，上油、检修、拨荒道，轨枕底垫碴及配合完成本项工作所需零星作业等。
		020	人工整道（120km/h）	km	45000.0		/	/	/	/	按甲方验收合格工程量计量	人工平整道碴、起道、串碴、方正轨枕、紧固扣件、紧固鱼尾板和鱼尾螺栓、补扣件、补丢失的鱼尾板和连接配件、捣固道床、拨正轨道方向、起拨三角坑、根据要求速度设置曲线外轨超高、人工匀碴、封碴、回填枕盒内道碴、螺栓涂油，配合大机作业，路容路貌整理，道床成型达到设计断面要求，100m范围内材料倒运等全部工作内容。自带起拨道机、液压捣固机等与完成本工作所需的所有小型机具。
		021	人工铺设道岔60Kg/m 1/12单开（专线4249）	组	45000.0		道岔（损耗率为0）	/	/	/	按甲方验收合格工程量计量	整平场地，选配与吊散道岔、砼枕、钢轨、涂绝缘膏、安装道岔及配件、整修工作，上碴整道、捣固、沉落整修、调整至达到设计验收标准，岔料100m范围内人工倒运等全部工作内容。
		022	人工铺设道岔50Kg/m 1/12单开（专线4257）	组	40000.0		道岔（损耗率为0）	/	/	/	按甲方验收合格工程量计量	同上
		023	人工铺设道岔50Kg/m 1/9单开（CZ2209）	组	38000.0		道岔（损耗率为0）	/	/	/	按甲方验收合格工程量计量	同上
		024	人工铺设道岔60Kg/m 1/18单开（GLC(07)02）	组	60000.0		道岔（损耗率为0）	/	/	/	按甲方验收合格工程量计量	同上
		025	道岔应力放散	组	4500.0		/	/	/	/	按甲方验收合格工程量计量	含松扣件、长轨应力放散、紧扣件、道床整理、锁定、标定锁定轨温、放散后涂油及完成本项工序所需的零星作业等。
		026	路容路貌整理	km	6000.0		/	/	/	/	按甲方验收合格工程量计量	人工匀碴、封碴、回填枕木盒内道碴、整理道床，道床外观、几何尺寸整理至设计规范要求及完成本项工序所需的零星作业等。含补砟后的道床整理，清理步行板、人行道、枕木上表面、扣配件道碴，清理枕木盒内高于枕木面道碴等。
		027	钢轨铝热焊	一个焊头	2200.0		铝热焊剂（损耗率为1%）	/	/	/	按甲方验收合格工程量计量	焊前准备、钢轨端头打磨、除锈、钢轨对正、立砂模、预热、装焊药、放置坩埚、点火、钢水浇注、拆除砂模、推瘤、热打磨、冷打磨、焊头检测等及完成本项工序所有的零星作业。含甲方提供材料的领料、倒运、看护等。
		028	胶接冻接接头	一个接头	1600.0		胶接冻结接头材料（损耗率为0）	/	/	/	按甲方验收合格工程量计量	钢轨准备、绝缘缝切割、钻孔、打磨除锈、干燥处理、对轨、预安装、和成胶泥、螺栓紧固、电阻检测及完成本工序所需的零星作业。
		029	土挡砌筑	处	6000.0		水泥2%、砂子3%、砖块2%	/	/	/		土挡材料倒运、砌筑、抹面等，及配合完成本项工作所需零星作业。
	02		改建铁路								按甲方验收合格工程量计量	
		001	配合换枕机换枕	公里	16000.0		轨枕（损耗率为0）	/	/	/	按甲方验收合格工程量计量	拆卸扣件、扒碴、配合换枕机换枕、紧固扣件、方枕、封碴、配合完成本项工作所需零星作业等。
		002	人工连续换枕(路基枕）	根	150.0		轨枕（损耗率为0）	/	/	/	按甲方验收合格工程量计量	含扒碴、抽换枕木、回填道碴、线路养护、路容整理、旧枕码放及完成本项工序所需的零星作业等。
		003	人工连续换枕（桥梁段）	根	180.0		轨枕（损耗率为0）	/	/	/	按甲方验收合格工程量计量	同上
		004	人工卸轨枕（火车平板）	根	10.0		轨枕（损耗率为0）	/	/	/	按甲方验收合格工程量计量	卸轨枕及配合完成本项工作所需零星作业等。
		005	点内拆除道岔、铺设轨排、起整线路、回收旧料	组	120000.0		轨枕、钢轨、扣配件，损耗率均为0；硫磺(损耗率2%)、砂子(损耗率3%)、水泥(损耗率2%)、石蜡(损耗率2%)	/	/	/	按甲方验收合格工程量计量	点前准备，拆除旧道岔、回收旧料至指定地点堆码、线路铺设（工作内容同人工铺轨）、上底砟、上面砟、起拨道捣固、线路整形、整修、路容路貌整理、材料倒运，配合验交及完成本工序所需的零星作业。
		006	拆除既有线路或道岔、预铺道岔、点内插铺道岔（P60-12#）、整修道岔、回收旧料	组	150000.0		道岔（损耗率为0）	/	/	/	按甲方验收合格工程量计量	平整场地，搭设预铺道岔平台，抬摆岔枕，预拼道岔。点前准备，拆除既有线路或道岔，扒碴，点内插入道岔（含拆除轨道及道岔前后25m范围内拆铺轨），回填道碴，整修精调，捣固、拨道开通，拆除预铺平台，含48小时养护工作，岔料50m范围内人工倒运等全部工作内容。旧料30m内分类集中，人工配合装车、倒运旧料至指定地点卸车、堆码及完成本工序所需的零星作业。
		007	拆除既有线路或道岔、预铺道岔、点内插铺道岔（P60-18#）、整修道岔、回收旧料	组	220000.0		道岔（损耗率为0）	/	/	/	按甲方验收合格工程量计量	同上
		008	拆除既有线路或道岔、预铺道岔、点内插铺道岔（P60-12#复式交分道岔）、整修道岔、回收旧料	组	260000.0		道岔（损耗率为0）	/	/	/	按甲方验收合格工程量计量	同上
		009	拆除线路及回收旧料	km	25000.0		/	/	/	/	按甲方验收合格工程量计量	拆除线路接头，拆卸加强设备，起道钉，卸螺栓，掀出钢轨、轨枕，旧轨料至指定地点回收堆码，配合完成本项工作所需零星作业等。
		010	点内换轨、配合放散、正火打磨	km	65000.0		/	/	/	/	按甲方验收合格工程量计量	点前准备，换铺长轨、涂油、更换胶垫及补充扣件，焊前打磨、锯轨、垫钢轨、配合焊轨、拆装扣件、支垫滚筒、串轨、合拢口、恢复线路，扒道砟（少量影响放散施工的砟）、松扣件、安装滚轮支撑钢轨、安拆拉伸器和撞轨器、长轨应力放散、紧扣件、道床整理、方正接头轨枕、线路锁定、锯轨、打眼、焊前打磨、配合焊轨、标定锁定轨温、放散后涂油、恢复线路，焊头的正火、粗磨、细磨等达到技术规范要求，及完成本项工序所需的零星作业等。点内必须按甲方要求完成所有工序。
		011	点内线路拨接	m	900.0		/	/	/	/	按甲方验收合格工程量计量	点前准备，扒开道床、拨移线路（平均拨移幅度1.5m）、上砟、回填道砟、起道、串砟、捣固、方枕、整形整修、调轨距、紧螺栓、整理道床直至达到技术和设计规范要求，旧料30m内分类集中，人工配合装车、倒运旧料至指定地点卸车、堆码，配合验交及配合完成本项工作所需的零星作业。
	03		板式无砟轨道									
			Ⅰ型轨道板									
		001	Ⅰ型板预制砼	m3	150.0	/	甲方提供砼、损耗率1%以内	/	/	/	按完工后设计数量计量。	清除模板、组装内、外模、涂脱模剂、安装及固定预埋件、砼自搅拌站至生产区运输、浇注、覆盖养生；轨道板拆模、吊装至检测区、检测整修、弹线、编号、入水养生生产区、搅拌站和砼运输线上的清理、洗石等全部工作内容
		002	Ⅰ型板预制钢筋	t	400.0	/	甲方提供钢筋、损耗率1%以内	/	/	/	按完工后设计数量计量。	钢筋切断、弯曲加工、钢筋骨架组立、焊接接地端子钢筋骨架堆码存放、吊装等全部工作内容
		003	Ⅰ型板场内运输存放	块	30.0	/	/	吊车	/	/	按完工后实际数量计量。	轨道板自养生池内吊装、运输、场内倒运、存放等全部工作内容
		004	Ⅰ型板底座砼	m3	100.0	/	甲方提供砼、损耗率1%以内	/	/	/	按完工后设计数量计量。	立模板、调模板、倒运模板、浇筑底座、凸台砼、倒运混凝土、按拆泵管、养生、安装水管、基准器配合安装、伸缩缝处理、灌缝等全部工作内容
		005	Ⅰ型板底座钢筋（绝缘带绑扎）	t	1100.0	/	甲方提供钢筋、损耗率1%以内	/	/	/	按完工后设计数量计量。	人工加工、绑扎、辅助装卸车、凸台钢筋加工、绑扎砼垫块的制、安等全部工作内容
		006	Ⅰ型轨道板铺装、粗调	块	110.0	/	/	/	/	/	按完工后设计数量计量。	轨道板倒运配合；临时提升站吊装配合（含吊耳安拆）；轨道板线上运输卷扬机司机、轨道板铺设；底座砼面清扫、轨道板安装、调板、固定 场地清理和文明施工，支撑吊耳收集、转场等全部工作内容
		007	Ⅰ型板凸型挡台树脂灌注	块	25.0	/	/	/	/	/	按完工后设计数量计量。	凸型挡台树脂搬运、灌注袋粘贴、树指搅拌、灌注、灌注袋割除、场地清理等全部工作内容
		008	Ⅰ型板CA砂浆灌注	块	150.0	/	/	/	/	/	按完工后设计数量计量。	CA砂浆供应站材料卸车、搬运、储存；CA砂浆车上料；CA砂浆站材料看护；CA砂浆灌袋铺设、灌注、挤浆等全部工作内容
		009	Ⅰ型板-轨道精调	m	26.0	/	/	/	/	/	按完工后设计数量计量。	人工调整轨道、松、紧扣件、填塞垫片、安全防护等全部工作内容
			Ⅱ型轨道板									
		010	Ⅱ型板预制砼	m3	115.0	/	甲方提供砼、损耗率1%以内	/	/	/	按完工后设计数量计量。	场区及搅拌站卫生清洁、人工配合机械洗石、人工配合机械砂石料倒运，模板清理、安装（含粗调、精调、端模及橡胶条的安装、分丝隔板的安装），喷涂脱模剂（含材料），混凝土运输、吊运、入模、振捣、刮平、刷毛、养护（含烧锅炉及管道维护），调高垫块的安装，毛坯板的脱模，毛坯板的静停存放、运输、吊装、存板区存放、养护，毛坯板的吊运、倒运、为翻转机喂板、翻板、滚轮输送线的运输，成品板打磨、刻字，预埋套管孔的清理、注油，扣件的安装（含卸车、保管、场内运输），成品板的绝缘检测、外运、吊运、存放、倒运、装车、轨道板的修补及装修（达到合格标准），以及各种材料的场内运输、倒运 ，场区内各种机械设备的操作（龙门吊、磨床、张拉系统、温控系统由甲方指定人员操作）、维护保养（含黄油）、维修配合，场区卫生的每班清扫、文明施工以及各项认证、检查、参观、学习等各项活动的配合；各项明示或者施工需要而未明示的全部工作内容
		011	Ⅱ型板钢筋	t	280.0	/	/	/	/		按完工后设计数量计量。	钢材卸车、堆码、除锈、调直，钢筋网片绑扎、吊运、存放、倒运、绝缘检测、安装，接地端子及接地扁钢的焊接（含焊接机具及材料），预埋套管安装，预应力钢筋卸车、存放、下料、运输、安装、张拉、放张、切割，钢筋加工区各种机械设备的操作、维护保养（含黄油）、维修配合，钢筋加工区卫生的每班清扫、文明施工以及各项认证、检查、参观、学习等各项活动的配合;各项明示或者施工需要而未明示的全部工作内容
		012	Ⅱ型轨道板粗铺	块	50.0	/	/	/	/		按完工后设计数量计量。	铺板基准点安装、弹线；运水、轨道板清洗、配合机械吊装上桥、保护套安装、粗铺以及轨道板破损装修；轨道板存板材料的转场人工配合及铺板龙门吊现场维修、保养等全部工作内容
		013	Ⅱ型轨道板精调	块	65.0	/	/	/	/	/	按完工后设计数量计量。	精调机具安装、拆除、清洗、倒运；轨道板精调、底座板标高微处理、砂浆灌注前复测、砂浆灌注后复测；配合必要的揭板及二次精调；现场材料保管；精调工具领用、维护、保管等全部工作内容
		014	Ⅱ型轨道板乳化沥青砂浆灌注	块	210.0	/	/	/	/	/	按完工后设计数量计量。	钻孔、锚杆安装、拆除、倒运；板腔清理、润湿；封边及压紧装置安装、拆除、倒运；沥青砂浆拌制、配合吊装、农用车运输、灌注、舀浆、砂浆养护；沥青站及干粉料仓的装、卸车人工配合；S型钢筋加工、运输、安装以及配合必要的揭板及二次灌注；现场材料、机具的维修、保养、保管及砂浆车看守等全部工作内容
		015	滑动层铺设（二布一膜、梁端高强挤塑板安装）	m2	1.5	/	/	/	/	/	按完工后设计数量计量。	桥面清扫（两布一膜铺设前，用洁净高压水及高压风冲洗桥面）、弹线、涂刷聚氨脂胶水、铺设二布一膜滑动层、梁端高强度挤塑料板铺设、高强挤塑板上塑料薄膜覆盖、材料起吊、运输等全部工作内容
		016	底座砼浇筑	m3	85.0	/	甲方提供砼、损耗率1%以内	/	/	/	按完工后设计数量计量。	模板（含支撑）运输、安装、拆除、清理、刷油；端头木模制作、运输、安装、拆除、清理；(底座、侧向挡块、窄、宽接缝等一切砼)浇筑、振捣、整平、收面、拉毛、养生（采用薄膜＋土工布覆盖洒水养护）；砼外露面修补等全部工作内容
		017	底座钢筋制、运、吊、安	t	500.0	/	甲方提供钢筋、损耗率1%以内	/	/	/	按完工后设计数量计量。	钢筋下料、制作、运输、吊装、堆码、倒运；保护层垫块、运输、吊装、安装；后浇带连接器制作、安装；齿槽剪力筋的制作、安装与套筒连接；端刺区钢筋制、运、安；预埋件制作、运输、安装；钢筋除锈；后浇带外露筋防锈处理等全部工作内容
		018	钻孔植筋	孔	25.0	/	/	/	/	/	按完工后设计数量计量。	钻孔、清孔；钢筋制作、运输、安装；注胶等全部工作内容
		019	窄缝、宽缝砂浆、砼	条	50.0	/	/	/	/	/	按完工后设计数量计量。	模板制、安、拆、运；砼浇注、养生等全部工作内容
		020	底座张拉	条	5.0	/	/	/	/	/	按完工后设计数量计量。	材料领用、运输、上桥、安装、张拉等全部工作内容
	04		双块式无砟轨道									
		001	浇注支撑层混凝土	m3	55.0	/	甲方提供砼、损耗率1%以内	/	/	/	按完工后设计数量计量。	模板（含支撑）运输、安装、拆除、清理、刷油；端头木模制作、运输、安装、拆除、清理；浇筑砼、养生等全部工作内容
		002	道床钢筋制安	t	800.0	/	甲方提供钢筋、损耗率1%以内	/	/	/	按完工后设计数量计量。	钢筋倒运，按图纸下料、制作，焊接、绑扎，接地钢筋焊接、销钉安装等全部工作内容
		003	桥梁人工铺轨枕、铺钢轨、粗调、精调	单线延米	70.0	/	/	/	/	/	按完工后设计数量计量。	配合放线、弹线、卸轨枕、散枕，摆排轨枕（桥上含铺方木），方木收集捆绑，倒运钢轨、起道、上螺杆调节器，粗调、钢轨支撑系统（轨距撑杆、横向撑杆），精调、安装轨枕桁架固定筋、钢轨清理、凸台铺土工布、弹性材料安装等完成桥梁人工铺轨枕、铺钢轨、粗调、精调等全部工作内容
		004	路基、隧道人工铺轨枕、铺钢轨、粗调、精调	单线延米	60.0	/	/	/	/	/	按完工后设计数量计量。	配合放线、弹线、卸轨枕、散枕，摆排轨枕，方木收集捆绑，倒运钢轨、起道、上螺杆调节器，粗调、钢轨支撑系统（轨距撑杆、横向撑杆），精调、安装轨枕桁架固定筋、钢轨清理等完成路基人工铺轨枕、铺钢轨、粗调、精调等全部工作内容
		005	道床板C40砼	m3	120.0	/	甲方提供砼、损耗率1%以内	/	/	/	按完工后设计数量计量。	配合放线、模板打磨上油、立模加固，模板运输、制安拆，人工配合机械浇注砼，模板清洗，砼铺土工布养护，钢轨轨枕清理、转运模板及支撑等完成道床板C40砼的全部工作内容
		006	桥涵底座钢筋	t	550.0	/	/	/	/	/	按完工后设计数量计量。	配合放线、模板打磨上油、立模加固，模板运输、制安拆，人工配合机械浇注砼，模板清洗，砼铺土工布养护，钢轨轨枕清理、转运模板及支撑等完成道床板C40砼的全部工作内容
		007	桥涵底座砼	m3	100.0	/	甲方提供砼、损耗率1%以内	/	/	/	按完工后设计数量计量。	模板（含支撑）运输、安装、拆除、清理、刷油；端头木模制作、运输、安装、拆除、清理；(底座、侧向挡块、窄、宽接缝等一切砼)浇筑、振捣、整平、收面、拉毛、养生（采用薄膜＋土工布覆盖洒水养护）；砼外露面修补等全部工作内容
五			混凝土拌合运输									
		001	砼拌合费用	m3	15.0	/	甲方按配比提供拌合原材料	/	甲方提供拌合机	甲方提供拌合站场地建设、高压电力干线、安全等标识标牌	按实际拌合砼量计算	配料、拌制、出料及清洗等全部工作内容
		002	砼运输费用  运距≤5km	m3	25.0	/	/	/	/	/	砼数量按实际运输数量计列	等待装料、运输、卸料、空回、清洗车辆
		003	砼运输增运费	m3•km	2.0	/	/	/	/	/	砼数量按实际运输数量计列，增运不足0.5Km的，四舍五入不计，0.5－ 1.0Km的按1Km计列	等待装料、运输、卸料、空回、清洗车辆
六			铁路临时工程									
		001	围墙、隔墙等砌筑工程	m³	160.0	/	甲方提供砖、砂浆	/	/	/	按现场实际围墙、隔墙长度与设计墙厚、墙高之积计算	砌筑用材料的场内倒运，砌筑用灰浆拌制，脚手架提供、搭拆、维护、场内外运输，铺浆、砌筑、养护，各类管线通道及洞口预留、预 埋，门窗洞口预留，现场清理等所有相关工序和费用
		002	地面砼硬化	m³	60.0	/	甲方提供砼	/	/	/	按现场实际完成且不超设计的合格圬工体积计算	混凝土泵送、场内运输、浇筑、振捣、养护，各类管线通道及洞口预留；消防、通风管道、通道预埋、预留，相关洞槽预留
		003	垫层混凝土	m³	50.0	/	甲方提供砼	/	/	/	按现场实际完成且不超设计的合格体积计算	下承层整平、夯实、模板安拆、垫层、浇筑砼
、养护
		004	制梁、存梁台座砼	m³	100.0	/	甲方提供砼	/	/	/	按现场实际完成且不超设计的合格体积计算	模板安拆、浇筑砼、养护
		005	料仓隔墙砼	m³	150.0	/	甲方提供砼	/	/	/	按现场实际完成且不超设计的合格体积计算	模板安拆、浇筑砼、养护
		006	20mm砂浆抹面	m²	8.0	/	甲方提供砂浆	/	/	/	按现场实际完成的合格圬工面积计算	抹灰材料场内倒运、灰浆拌制，基层清理、刷浆、打底、抹灰、清面、压光、养护、现场清
理以及相关工序和费用
		007	钢筋制作、安装	t	550.0	/	甲方提供钢筋	/	/	/	按设计图示尺寸计算重量，不计搭接、损耗	制作、运输、绑扎
		008	钢构件加工制作	t	1000.0	/	甲方提供钢材	/	/	/	按设计图示尺寸计算重量，不计搭接、损耗	钢筋绑扎胎具、钢筋吊具、内膜台架、蒸养棚的制作安装及为完成上述工作项目所必须的其它辅助工作项目
		009	地板砖铺设	m²	22.0	/	甲方提供砂浆、地板砖	/	/	/	按现场实际完成且不超设计的合格面积计算	清理基层、调运水泥砂浆及刷素水泥浆、试排弹线、锯板修边、铺贴饰面、擦缝、清理净面
		010	贴墙砖	m²	25.0	/	甲方提供砂浆、地板砖	/	/	/	按现场实际完成且不超设计的合格面积计算	清理修补基层表面、打底抹灰、砂浆找平、选料、抹结合层砂浆、贴磁砖、擦缝、清洁表面
		011	人工挖土方	m³	20.0	/	/	/	/	/	按现场实际完成且不超设计的合格体积计算	挖土、装土、将土倒至地面、修理底边、拍底
